Name,Club,Division,Nat,Position,Home Grown Status,Preferred Foot,Inf,WR,Age,Mins,Ps C/90,Pr passes/90,Pas %,NP-xG/90,xA/90,Drb/90,Tck R,Hdr %,Tck/90,K Tck/90,Hdrs W/90,K Hdrs/90,Int/90,Blk/90,Clr/90,Pres C/90,Pres A/90,Fls,Distance,Rec,Salary,Expires,Transfer Value
Ayanda Nkili,Marumo Gallants,DSTV Premiership,RSA,"D (RC), DM",-,Unknown,,,33,"1,886",34.55,3.44,77%,0.02,0.07,0.76,63%,61%,1.24,0.05,4.68,0.05,2.53,0.52,1.53,3.1,10.59,24,167.3mi,- - -,$925 p/w,6/30/23,Unknown
David Lichtensteiger,FC Augsburg II,Regionalliga Bayern,GER,D (C),-,Right,,,19,"1,733",45.03,4.36,75%,0.06,0.06,0.1,80%,60%,0.83,0.16,8.72,0.52,3.43,0.42,1.51,1.77,4.67,13,120.0mi,- - -,"$3,100 p/w",6/30/26,$425K - $4.4M
Camilo Jiménez,FBC Melgar,Liga 1 Movistar,PER,D (C),-,Right Only,,,27,275,69.05,5.24,89%,0,0.01,0.33,50%,79%,1.31,0,8.51,0,4.58,0.33,1.64,1.31,6.87,5,23.7mi,- - -,"$1,500 p/w",1/31/24,$5K - $50K
Antonio Montoro,Real Unión,Primera Federación Grupo II,ESP,D (C),-,Right Only,Ask,,27,"1,898",40.73,4.5,73%,0.03,0.01,-,83%,62%,0.9,0.43,7.4,0.43,3.98,0.57,2.42,1.75,3.7,25,143.0mi,- - -,$650 p/w,6/30/23,$4.5K - $14K
Yegor Pogostnov,Lokomotiv Moscow,Tinkoff Russian Premier League,RUS,D (C),-,Right,,,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,"$2,000 p/w",6/30/24,$900K - $2M
Teodoro Paredes,Cumbayá F.C.,LigaPro Banco Pichincha,PAR,D (C),-,Right,Ctr,,31,"1,011",47.54,4.09,75%,0.13,0.04,0.18,53%,78%,0.71,0.18,8.1,0.8,3.38,0.53,1.78,1.69,4.72,11,79.3mi,- - -,"$1,600 p/w",-,$22K - $210K
Rhys Bennett,Rochdale,Sky Bet League Two,ENG,"D (RC), DM",-,Right Only,,,32,"3,750",42.14,4.2,67%,0.09,0.03,0.41,86%,82%,1.01,0.14,10.92,0.94,3.65,0.58,1.63,1.85,4.06,36,280.1mi,- - -,"$1,500 p/w",6/30/24,$35K - $110K
Simon Ludwig,Kaiserslautern II,German Div. Rhineland-Palatinate/Saar,GER,D (C),-,Right Only,,,20,"3,006",49.49,4.22,77%,0.09,0.02,0.09,82%,71%,0.84,0.18,10.24,0.45,3.92,0.6,1.71,1.59,3.44,30,202.7mi,- - -,"$1,200 p/w",6/30/25,$10K - $110K
Stephen Manyo,Enyimba Aba,Nigeria Professional Football League Group A,NGA,D (RC),-,Unknown,,,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$220 p/w,9/1/23,Unknown
Božo Mikulić,,-,CRO,D (C),-,Unknown,Wnt,,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,-,-,$0 
Sertan Yiğenoğlu,Turgutluspor,Spor Toto 3. Lig Grup 2,GER,D (C),-,Unknown,,,29,"3,900",16.04,0.3,70%,0.04,0.02,0.05,96%,71%,1.73,0,0.83,0.05,0.14,0.07,0.21,0.14,0.37,33,22.7mi,- - -,$350 p/w,6/30/24,Unknown
Tommy Grupe,Lübeck,Regionalliga Nord,GER,"D (C), DM",-,Right,,,32,"3,347",46.71,4.25,76%,0.07,0.05,0.19,76%,83%,0.94,0.27,11.16,0.65,3.15,0.62,1.83,1.94,4.68,21,249.0mi,- - -,"$2,000 p/w",6/30/25,$16K - $160K
Lucas Vesco,Atl. Paraná,Torneo Argentino A,ARG,D (C),-,Right,Ret,,34,"1,170",14.77,0,74%,0.03,0,-,96%,-,1.69,0,-,0,-,-,0,0,0,18,0.0mi,- - -,"$1,800 p/w",12/31/23,$35K - $110K
Granit Lekaj,Winterthur,Raiffeisen Super League,SUI,D (C),-,Unknown,Inj,,34,"3,144",34.9,2.98,69%,0.03,0.02,0.06,76%,75%,1.29,0.46,7.56,0.6,2.95,0.69,2.18,2,4.24,35,238.6mi,- - -,"$1,100 p/w",6/30/23,Unknown
Mignot Debebe,Saint George,Ethiopian Premier Division,ETH,D (C),-,Unknown,,,28,"3,095",44.52,4.22,70%,0.1,0.01,0.09,90%,76%,0.81,0.12,10.9,0.73,3.46,0.64,1.72,1.66,4.13,27,221.6mi,- - -,$925 p/w,6/30/25,Unknown
Bradley M'Bondo,Niort,Ligue 2 BKT,COD,D (RC),Trained in nation (15-21),Left,Lst,,22,335,51.31,2.42,92%,0,0,-,67%,34%,1.07,0.27,2.69,0.54,3.49,1.07,2.15,1.61,3.49,4,26.3mi,- - -,"$2,200 p/w",6/30/26,$210K
Paulo da Silva,Independiente (PAR),División Intermedia,PAR,D (C),-,Unknown,,,44,"1,170",13.62,0,68%,0.01,0,-,100%,-,1.69,0,-,0,-,-,0,0,0,15,0.0mi,- - -,"$3,000 p/w",12/31/23,Unknown
Francesco Di Nunzio,Turris,Serie C Girone C,ITA,D (C),-,Right,Trn,,38,"1,064",46.95,4.48,76%,0.02,0,-,70%,86%,0.59,0.17,11.42,0.51,4.23,0.76,2.11,1.52,3.81,13,70.5mi,- - -,$850 p/w,6/30/23,$0 
Guillaume Dequaire,URSL Visé,Nationale 1,FRA,D (LC),Trained in nation (15-21),Left Only,,,33,"3,468",40.95,4.31,78%,0.07,0.13,0.86,77%,73%,1.61,0,6.9,0.23,3.24,0.57,1.04,3.24,9.91,51,295.7mi,- - -,$900 p/w,6/30/24,$40K - $130K
Luca Falabella,Almagro,Primera Nacional,ARG,D (LC),-,Left,,,25,24,-,-,79%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2.9mi,- - -,"$1,100 p/w",12/31/23,$12K - $120K
Alimi Adebayo,Shooting Stars,Nigeria Professional Football League Group A,NGA,D (C),-,Unknown,,,26,450,22,1.6,63%,0.08,0.07,0.8,43%,47%,0.6,0.2,1.8,0,2.4,0.8,1.8,2.4,4.2,4,21.4mi,- - -,$120 p/w,6/30/23,Unknown
Abbey Benson,Akwa Utd.,Nigeria Professional Football League Group A,NGA,D (C),-,Unknown,,,25,55,-,-,75%,-,-,-,100%,-,-,-,-,-,-,-,-,-,-,3,0.0mi,- - -,$210 p/w,6/30/23,Unknown
Kacper Łopata,Southend,Vanarama National League,POL,D (C),-,Right,Unh,,22,"3,698",48.75,3.72,74%,0.09,0.04,0.15,74%,81%,0.61,0.1,11.73,0.85,3.65,0.41,1.65,1.48,3.53,41,250.9mi,- - -,"$1,400 p/w",6/30/24,$75K - $750K
Branimir Barišić,,-,CRO,D (C),-,Unknown,Bid,,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,-,-,$0 
Alexandr Poznyak,Kuban PFC,Olimp-Russian Football Championship,BLR,D (LC),-,Left Only,Wnt,,29,"2,970",49.21,3.76,79%,0.05,0.01,0.18,89%,85%,0.48,0.15,12.18,0.64,4.58,0.79,1.58,1.09,2.88,37,208.5mi,- - -,"$1,000 p/w",6/10/23,$0 
Sandro-Luca Molnar,SK Sturm Graz II,HPYBET 2.liga,AUT,D (C),-,Unknown,,,20,"2,496",31.91,4.65,61%,0.03,0.04,-,72%,65%,0.83,0.25,7.93,0.58,2.99,0.58,1.66,1.69,3.32,21,146.0mi,- - -,$750 p/w,6/30/24,Unknown
Ignacio Lucero,Ciudad de Bolívar,Primera C,ARG,D (LC),-,Left Only,,,27,"1,170",49.38,4.15,80%,0.02,0.04,0.08,73%,69%,0.85,0.15,6.46,0.69,3,0.38,1.15,1.69,3.92,18,86.5mi,- - -,"$1,700 p/w",12/31/24,$45K - $450K
Mohamed Amine Kechiche,ES Sahel,Championnat de la Ligue Professionnelle 1,TUN,D (C),-,Unknown,,,21,971,37.54,3.43,76%,0.1,0.01,0.65,75%,63%,1.11,0,8.34,0.46,2.5,0.37,1.48,2.6,7.04,11,71.1mi,- - -,$325 p/w,6/30/24,Unknown
Williams Velásquez,UCV,Liga FUTVE,VEN,D (C),-,Unknown,,,27,720,37.12,3.25,73%,0.08,0.06,-,94%,73%,2,0.62,5.62,0.38,2.25,0.12,1.5,1.88,3.25,3,40.0mi,- - -,"$1,400 p/w",12/31/24,Unknown
Rhys Bailey,Liverpool,Premier League,WAL,D (C),-,Unknown,,,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,"$8,000 p/w",6/30/26,Unknown
Mory Koné,Vierzon FC,Championnat National 2 Groupe D,FRA,D (C),Trained in nation (15-21),Right Only,,,30,"2,693",46.65,4.14,71%,0.03,0.03,0.07,87%,75%,0.9,0.2,11.2,0.94,4.28,0.37,1.6,1.67,3.17,28,203.1mi,- - -,$625 p/w,6/30/23,$500 - $6K
Aritz Arambarri,Real Sociedad B,Primera Federación Grupo II,ESP,D (C),-,Right,,,26,"3,127",42.17,2.48,77%,0.02,0.02,0.06,67%,62%,0.75,0.29,6.99,0.37,3.19,0.52,1.64,1.47,3.37,24,234.6mi,- - -,"$1,400 p/w",6/30/23,$14K - $45K
Mechack Jérôme,Indy Eleven,USL Championship Eastern Conference,HAI,D (C),-,Right,,,34,"1,117",18.05,0.24,74%,0.08,0,-,100%,93%,2.18,0,1.05,0,0.4,0.08,0,0.08,0.16,23,5.9mi,- - -,"$1,500 p/w",12/31/24,Not for Sale
Ethan Sutcliffe,AFC Wimbledon,Sky Bet League Two,ENG,D (C),-,Right,,,20,"2,074",44.91,4.21,70%,0.08,0.04,0.26,86%,76%,0.52,0.17,11.02,0.56,4.04,0.69,1.48,1.39,3.17,16,149.6mi,- - -,$700 p/w,6/30/24,$7K - $75K
Stefan Goldnagl,SKU Amstetten,HPYBET 2.liga,AUT,D (C),-,Unknown,,,22,"2,107",42.97,3.46,70%,0.07,0.03,0.17,95%,73%,0.81,0.13,10,0.43,3.84,0.64,1.79,1.67,3.63,25,152.6mi,- - -,$650 p/w,6/30/24,Unknown
Dany Nounkeu,AS Arta,Djiboutian Premier Division,CMR,D (C),-,Unknown,Ctr,,38,"3,932",49.12,4.17,75%,0.08,0.02,0.05,85%,78%,0.66,0.34,11.83,0.37,4.17,0.71,1.67,1.58,3.55,27,286.1mi,- - -,N/A,-,Unknown
Maissa Ndiaye,Vicenza,Serie C Girone A,SEN,D (C),-,Right,,,22,"2,562",51.43,4.07,79%,0.05,0.01,0.11,83%,66%,0.84,0.14,6.04,0.21,4.04,0.81,1.02,1.41,3.97,35,199.0mi,- - -,"$2,800 p/w",6/30/26,$130K - $1.3M
Polat Güren,Ayvalıkgücü Bld.,Spor Toto 3. Lig Grup 2,TUR,D (C),-,Unknown,,,33,"3,900",15.65,0.16,73%,0.07,0,0.07,98%,63%,1.94,0,0.23,0,0.05,-,0,0.07,0.37,62,16.5mi,- - -,$300 p/w,6/30/23,Unknown
Gastón Yabale,Desamparados,Torneo Argentino A,ARG,D (C),-,Right,,,29,"1,170",14.77,0,74%,0.02,0,-,93%,-,2.15,0,-,0,-,-,0,0,0,27,0.0mi,- - -,"$2,400 p/w",12/31/24,$170K - $1.7M
Patryk Stępiński,Widzew Łódź,PKO Ekstraklasa,POL,D (C),-,Right,Inj,,29,"2,849",41.79,3.57,78%,0.07,0.02,0.22,81%,65%,1.07,0.16,4.77,0.35,3.16,0.54,1.55,1.71,4.52,40,227.1mi,- - -,$975 p/w,6/30/23,$500 - $6K
Ivan Novoselec,Koper,PrvaLiga Telemach,CRO,D (RC),-,Unknown,,,28,"3,449",36.56,3.18,78%,0.06,0.07,1.25,76%,35%,1.51,0.16,2.3,0.18,3.34,0.55,1.25,3.03,8.53,42,298.7mi,- - -,$550 p/w,6/30/23,Unknown
Jorn Berkhout,AZ,Keuken Kampioen Divisie,NED,D (C),-,Unknown,,,22,"2,199",49.97,5.24,82%,0.04,0.02,0.04,88%,70%,0.61,0.12,7.12,0.49,3.32,1.11,1.51,2.37,5.93,5,177.2mi,- - -,$500 p/w,6/30/25,Unknown
Jefferson Nazareno,Delfín,LigaPro Banco Pichincha,ECU,D (C),-,Unknown,,,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$625 p/w,12/31/24,Unknown
Kelvin Pires,Trenčín,Fortuna Liga,CPV,D (C),-,Unknown,,,23,"1,114",65.84,3.47,86%,0.06,0,-,83%,70%,0.81,0.08,8.56,0.32,3.31,0.81,1.7,1.54,2.91,5,82.7mi,- - -,$500 p/w,6/30/25,Unknown
Gustavo Benjumea,Orsomarso S.C.,Torneo BetPlay Dimayor,COL,D (LC),-,Left,,,28,"1,125",45.6,3.52,80%,0.06,0.04,0.96,76%,71%,1.28,0.08,5.44,0.72,3.36,0.48,1.12,2,5.6,23,86.2mi,- - -,"$4,000 p/w",12/31/23,$30K - $325K
Niall Maher,Grimsby Town,Sky Bet League Two,ENG,"D (RC), DM",-,Right,,,28,"3,387",47.7,3.75,74%,0.04,0.04,0.19,83%,71%,0.8,0.24,10.55,0.43,3.93,0.64,2.07,1.75,3.37,41,252.7mi,- - -,"$1,600 p/w",6/30/25,$60K - $200K
Bohdan Biloshevskyi,FK Oleksandriya,FavBet Liha,UKR,"D (C), DM",-,Unknown,Wnt,,24,616,49.38,3.65,82%,0.02,0.14,0.44,91%,69%,1.46,0.15,5.41,0.15,1.75,0.44,1.17,3.51,9.94,9,52.2mi,- - -,$475 p/w,6/30/23,Unknown
Jeremiaha Maluze,Duisburg,3. Liga,GER,D (C),-,Right,,,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$950 p/w,6/30/24,$75K - $240K
Manel Royo,Almere City FC,Keuken Kampioen Divisie,ESP,D (LC),-,Unknown,,,30,933,77.17,5.59,83%,0.07,0.07,0.58,61%,72%,1.06,0.58,8.3,0.29,3.95,0.68,3.57,2.32,5.31,13,73.2mi,- - -,"$1,200 p/w",6/30/23,Unknown
Duarte Soares,Beira-Mar,Campeonato de Portugal Prio B,POR,"D (RC), DM",-,Right Only,Wnt,,24,"2,416",40.38,4.17,76%,0.11,0.12,0.93,60%,74%,0.93,0.11,6.18,0.48,4.51,0.6,1.71,2.61,7,14,201.2mi,- - -,"$1,300 p/w",6/30/27,$0 - $50K
Gerardo Negrete,Tauro,Liga Panameña de Fútbol,COL,D (RLC),-,Unknown,,,31,"3,679",33.56,4.16,71%,0.06,0.06,1.2,71%,63%,1.17,0.15,4.38,0.27,3.74,0.91,1.47,3.18,8.27,51,314.2mi,- - -,$525 p/w,6/30/25,Not for Sale
Stjepan Pavisic,Mainz 05 II,Regionalliga Südwest,GER,D (C),-,Right Only,,,19,318,26.6,1.7,67%,0,0.07,-,100%,78%,1.13,0,5.09,0,1.42,0.57,0,0.28,2.83,1,10.1mi,- - -,"$3,100 p/w",6/30/25,$26K - $275K
Dan Jones,Port Vale,Sky Bet League One,ENG,"D (LC), WB (L)",-,Left,Wnt,,29,"4,040",52.64,4.21,82%,0.05,0.05,0.29,82%,76%,1.43,0.18,8.89,0.56,3.43,0.76,1.54,1.74,5.73,36,314.8mi,- - -,"$1,400 p/w",6/30/23,$0 - $9K
Alfonso Simarra,Orsomarso S.C.,Torneo BetPlay Dimayor,COL,D (C),-,Left,,,23,"1,313",50.18,3.7,84%,0.06,0.07,0.48,91%,78%,1.44,0.27,6.65,0.41,3.5,0.41,1.03,2.12,4.94,17,96.1mi,- - -,"$4,300 p/w",12/31/23,$24K - $250K
Matic Maruško,Mura,PrvaLiga Telemach,SVN,"D (C), DM",-,Unknown,,,33,"2,902",62,5.21,87%,0.05,0.13,0.56,74%,66%,1.74,0.09,3.6,0.31,1.61,0.59,1.18,3.91,10.48,36,240.1mi,- - -,$550 p/w,6/30/24,Unknown
Emeka Obiora,Lobi Stars,Nigeria Professional Football League Group B,NGA,D (C),-,Unknown,,,25,90,13,0,65%,0,0,-,100%,-,1,0,-,0,-,-,0,0,0,4,0.0mi,- - -,$130 p/w,9/1/23,Unknown
Diego Céspedes,Cobresal,Campeonato AFP PlanVital,CHI,D (C),-,Right,Ask,,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$300 p/w,12/31/24,$24K - $80K
Bissenty Mendy,FC Annecy,Ligue 2 BKT,SEN,D (RLC),Trained in nation (15-21),Right Only,Inj,,32,324,48.61,7.78,84%,0.01,0,1.67,55%,29%,1.67,0.28,1.11,0,3.33,0.56,2.5,3.61,8.89,3,30.0mi,- - -,"$1,900 p/w",6/30/23,$3.5K - $10K
Bruno Romo,Deportes Copiapó,Campeonato AFP PlanVital,CHI,D (C),-,Left,,,35,877,35.61,3.8,67%,0,0.04,-,69%,77%,0.92,0.41,6.47,0.21,3.28,0.72,2.87,1.33,3.59,8,66.2mi,- - -,$750 p/w,12/31/23,$4K - $14K
Lukas Baert,Mechelen,Jupiler Pro League,BEL,D (C),-,Right,,,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$450 p/w,6/30/25,$7K - $65K
Kim Woo-Seok,Gangwon FC,Hana 1Q K League 1,KOR,D (C),-,Unknown,,,27,"1,352",36.28,5.72,57%,0.02,0.01,0.07,82%,62%,0.6,0.2,7.79,0.33,3.79,0.73,2.53,2,5.66,2,109.5mi,- - -,$775 p/w,12/31/23,Unknown
Miguel Morais,São Martinho,Campeonato de Portugal Prio A,POR,D (RC),-,Right Only,,,19,"1,915",39.43,3.85,75%,0.1,0.05,0.52,81%,58%,0.99,0.14,6.72,0.38,3.71,0.89,1.97,2.07,5.5,11,148.2mi,- - -,$230 p/w,6/30/25,$16K - $150K
Yasin Arslan,Niğde Anadolu FK,Spor Toto 3. Lig Grup 3,TUR,D (C),-,Unknown,,,30,"2,250",14.52,0,73%,0.01,0,-,94%,-,1.88,0,-,0,-,-,0,0,0,37,0.0mi,- - -,$240 p/w,6/30/24,Unknown
Mohamed Abdel Salam,Future,The WE League,EGY,D (C),-,Unknown,,,26,90,16,0,80%,0,0,-,100%,-,2,0,-,0,-,-,0,0,0,1,0.0mi,- - -,"$2,900 p/w",7/31/25,Unknown
Marlone Foubert-Jacquemin,Roma,Serie A TIM,FRA,D (C),Trained in nation (15-21),Right,,,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$600 p/w,6/30/24,$20K - $200K
Pablo Corzo,U.D. Ourense,Tercera Federación Grupo I,ESP,D (C),-,Right,,,33,"2,970",14.33,0,72%,0.06,0,-,97%,-,1.73,0,-,0,-,-,0,0,0,36,0.0mi,- - -,$425 p/w,6/30/24,$0 - $95K
Lavdrim Hajrullahu,Stade Lausanne-Ouchy,Brack.ch Challenge League,KOS,D (C),-,Unknown,Inj,,26,"3,066",49.64,4.02,82%,0.07,0.08,0.21,77%,71%,1.17,0.29,6.4,0.53,2.82,0.65,1.32,2.29,5.61,35,229.6mi,- - -,"$2,500 p/w",6/30/24,Unknown
Johan Rapp,Örebro SK,Superettan,SWE,D (RC),-,Right,,,23,"1,151",43.16,3.44,81%,0.13,0.06,0.55,100%,73%,1.09,0.16,6.8,0.55,3.68,0.63,1.02,1.8,5.86,9,90.5mi,- - -,"$2,900 p/w",11/30/25,$300K - $950K
Bruno Duarte,Deportivo Cuenca,LigaPro Banco Pichincha,ARG,D (C),-,Right,,,28,"1,338",50.11,3.77,81%,0.13,0.03,0.07,87%,75%,0.87,0.2,6.86,0.4,3.5,0.67,1.28,1.41,3.5,15,88.6mi,- - -,"$1,000 p/w",12/31/24,$14K - $140K
Fran Moreno,Marbella,Tercera Federación Grupo IX,ESP,D (C),-,Left,,,23,"3,697",47.23,4.28,75%,0.04,0.04,0.07,82%,64%,0.78,0.19,9.42,0.34,3.9,0.56,1.92,1.56,3.02,32,245.8mi,- - -,"$3,900 p/w",6/30/25,$100K - $325K
Julian Dunn,,-,CAN,D (C),-,Right,FrA,,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,-,-,$0 
Yann Zébré,RS Berkane,Botola Pro 1,CIV,D (LC),-,Left,,,30,"1,903",48.48,3.5,83%,0.01,0.01,0.19,88%,64%,0.99,0.14,5.06,0.24,3.64,0.61,1.32,1.66,3.83,19,133.5mi,- - -,$625 p/w,6/30/24,$60K - $600K
Jordan Tunnicliffe,Wrexham,Vanarama National League,ENG,D (C),-,Right Only,,,30,"2,614",45.79,4.82,70%,0.05,0.02,0.1,77%,82%,0.79,0.21,12.77,0.52,3.68,0.76,2.1,1.55,3.58,26,187.1mi,- - -,"$3,500 p/w",6/30/23,$500 - $4K
Ahmet Baha Bilgin,52 Orduspor FK,Spor Toto 3. Lig Grup 1,TUR,D (C),-,Unknown,,,23,"3,970",40.92,3.99,65%,0.13,0.03,0.05,67%,72%,0.63,0.16,11.22,0.48,3.47,0.68,1.95,1.5,3.2,52,292.7mi,- - -,$140 p/w,6/30/23,Unknown
Michael Harms,Cavalry FC,Alberta Major Soccer League,CAN,D (RC),-,Unknown,Int,,18,900,14.6,0,73%,0.07,0,-,94%,-,1.6,0,-,0,-,-,0,0,0,10,0.0mi,- - -,$190 p/w,12/31/24,Unknown
Tomas Nemcik,Żilina,Fortuna Liga,SVK,D (C),-,Unknown,,,23,"2,615",63.02,4.68,83%,0.06,0,0.17,62%,76%,0.45,0.14,9.43,0.45,3.2,0.48,2,1.72,4.92,28,195.9mi,- - -,$350 p/w,6/30/23,Unknown
Nicolás Ayala,Plaza Colonia,Torneo Uruguayo Copa Coca-Cola,URU,D (C),-,Unknown,,,28,"1,312",56.73,3.64,84%,0.01,0.01,-,54%,74%,0.48,0.14,11.8,0.82,4.94,0.89,1.3,1.17,3.64,13,95.9mi,- - -,"$1,400 p/w",6/30/24,Unknown
Roman Honcharenko,Kolos,FavBet Liha,UKR,D (C),-,Unknown,,,30,"2,808",84.65,5.38,91%,0.02,0.05,0.26,79%,69%,0.83,0.1,5.54,0.29,2.21,0.48,1.57,1.6,4.42,14,212.3mi,- - -,"$1,000 p/w",6/30/23,Unknown
Declan Drysdale,Newport County,Sky Bet League Two,ENG,"D (C), DM, M (C)",-,Right,Opt,,24,"2,994",45.93,4.27,75%,0.1,0.05,0.21,79%,86%,0.57,0.18,12.81,0.48,3.88,0.84,2.04,1.62,4.03,30,215.4mi,- - -,"$1,200 p/w",6/30/23,$16K - $160K
Jérôme Guihoata,Omonoia Aradippou,B' Katigoria,CMR,"D (RC), DM",-,Right Only,Opt,,29,"3,870",14.12,0,71%,0.07,0,-,99%,-,1.91,0,-,0,-,-,0,0,0,42,0.0mi,- - -,$500 p/w,6/30/23,$4.5K - $14K
Nikolay Tolstopyatov,KamAZ,Olimp-Russian Football Championship,RUS,D (C),-,Right Only,,,22,"2,551",34.15,3.42,67%,0.04,0.02,0.04,85%,82%,1.2,0.18,8.33,0.46,2.5,0.39,1.23,1.2,2.5,33,124.0mi,- - -,"$2,800 p/w",6/30/24,$75K - $240K
José Antonio García,Olimpia (HON),Liga Salva-Vida,HON,D (C),-,Unknown,,,25,"1,183",40.93,3.88,75%,0.01,0.01,0.53,93%,63%,0.99,0.23,8.44,0.3,2.74,0.99,1.9,1.9,4.34,8,85.6mi,- - -,N/A,6/30/24,Unknown
Brian Flores,Sportivo Belgrano,Torneo Argentino A,ARG,D (C),-,Right,,,34,"1,138",48.48,3.16,73%,0.05,0.03,-,75%,74%,0.47,0.08,10.6,0.63,3.8,0.87,1.5,0.87,1.98,14,87.2mi,- - -,"$2,100 p/w",12/31/24,Not for Sale
James Chinedu,Lobi Stars,Nigeria Professional Football League Group B,NGA,D (C),-,Unknown,Ctr,,26,395,36.91,2.51,76%,0,0,-,67%,74%,0.91,0,6.61,0.46,2.05,0.68,1.59,1.37,4.56,7,23.2mi,- - -,$130 p/w,-,Unknown
Salif Coulibaly,Horoya AC,Guinean Premier Division,MLI,D (C),-,Unknown,,,36,"3,489",51.41,3.22,85%,0.09,0.11,0.05,67%,65%,0.57,0.26,5.86,0.77,3.1,0.64,1.32,1.21,3.74,27,242.1mi,- - -,$120 p/w,6/30/23,Unknown
Luis Sikora,Arminia Bielefeld,2. Bundesliga,GER,D (C),-,Either,,,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,"$1,200 p/w",6/30/25,$50K - $500K
José Luís Català,Espanyol B,Segunda Federación Grupo III,ESP,D (C),-,Either,Wnt,,19,"3,150",50.94,3.66,77%,0.02,0.02,0.11,79%,79%,0.63,0.17,11.26,0.4,4.23,0.74,1.86,1.43,3.86,23,233.9mi,- - -,$350 p/w,6/30/23,$28K - $275K
David Valencia,La Equidad,Liga BetPlay Dimayor,COL,D (C),-,Right,,,33,991,73.56,4.72,92%,0.04,0,0.18,80%,83%,0.73,0.09,7.63,1,2.27,0.54,1.09,2,5.27,8,77.2mi,- - -,"$1,300 p/w",12/31/24,$16K - $160K
Lukas Aigner,Schweinfurt,Regionalliga Bayern,GER,"D (RC), DM",-,Right Only,,,28,"3,578",42.81,3.85,74%,0.05,0.02,0.05,83%,78%,0.96,0.3,11.19,0.38,3.97,0.53,1.61,1.69,3.47,31,251.8mi,- - -,"$1,500 p/w",6/30/23,$0 - $18K
Shuaib Al-Ali,Jableh,Syrian Premier League,SYR,D (C),-,Unknown,,,33,"2,781",44.92,4.43,76%,0.04,0.03,0.06,78%,65%,0.81,0.29,10.06,0.65,3.75,0.49,1.33,2.01,3.27,34,187.7mi,- - -,$120 p/w,6/30/23,Unknown
Florian Mayer,Roda JC Kerkrade,Keuken Kampioen Divisie,GER,D (C),-,Unknown,,,26,"2,223",65.14,4.57,83%,0.06,0.02,0.08,76%,77%,0.65,0.12,9.6,0.45,3.08,0.45,1.86,1.7,3.56,18,162.4mi,- - -,$800 p/w,6/30/23,Unknown
Dani Barcia,Deportivo Fabril,Tercera Federación Grupo I,ESP,D (LC),-,Left,Wnt,,21,"2,791",47.6,4.39,77%,0.04,0.03,0.19,84%,77%,1.19,0.32,8.61,0.55,3.45,0.58,1.55,1.77,4.06,19,213.9mi,- - -,$575 p/w,6/30/23,$28K - $275K
Patrik Poór,MTK Budapest,Merkantil Bank Liga,HUN,D (RC),-,Unknown,,,30,"2,867",42.6,3.55,81%,0.08,0.19,0.75,88%,68%,1.44,0.03,6.47,0.13,2.61,0.41,0.94,3.3,8.51,30,238.5mi,- - -,$625 p/w,6/30/23,Unknown
Ezequiel Luna,Villa Dálmine,Primera Nacional,ARG,D (C),-,Right,,,37,99,34.55,4.55,78%,0,0.1,0.91,100%,80%,1.82,0,7.27,0,4.55,-,1.82,4.55,8.18,1,8.0mi,- - -,"$1,200 p/w",12/31/23,$7K - $24K
Tobias Gunte,Viktoria 1889,Regionalliga Nordost,GER,D (RC),-,Right Only,,,27,"3,832",49.09,4.58,76%,0.18,0.04,0.09,78%,81%,0.89,0.35,11.98,0.49,3.76,0.7,2.18,1.97,4.04,38,258.9mi,- - -,"$1,200 p/w",6/30/23,$6K - $18K
Mélo N'Diaye,ASC Jaraaf,Senegalese Ligue 1,SEN,D (C),-,Right,Inj,,29,"2,141",43.89,4.29,72%,0.08,0.01,-,83%,78%,0.8,0.46,9.96,0.63,3.78,0.5,2.1,1.81,3.15,12,138.4mi,- - -,$120 p/w,6/30/23,$40K - $130K
Kike Hermoso,Vilafranquense,Liga Portugal 2 SABSEG,ESP,D (C),-,Right,Bid,,24,753,42.19,4.3,62%,0,0,0.12,85%,64%,1.31,0.72,6.45,0.24,2.87,0.36,2.39,1.67,3.59,4,56.5mi,- - -,"$1,500 p/w",6/30/23,$0 
